2026-03-09 11:50:11 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting BAJFINANCE.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:11 | INFO     | src.intraday:predict_timeframe:357 — Predicting BAJFINANCE.NS [1hr]...
2026-03-09 11:50:12 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting BAJFINANCE.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:12 | INFO     | __main__:scan_all_tickers:65 — [14/50] WIPRO.NS
2026-03-09 11:50:12 | INFO     | src.intraday:predict_timeframe:357 — Predicting WIPRO.NS [5min]...
2026-03-09 11:50:12 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting WIPRO.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:12 | INFO     | src.intraday:predict_timeframe:357 — Predicting WIPRO.NS [15min]...
2026-03-09 11:50:12 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting WIPRO.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:12 | INFO     | src.intraday:predict_timeframe:357 — Predicting WIPRO.NS [1hr]...
2026-03-09 11:50:13 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting WIPRO.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:13 | INFO     | __main__:scan_all_tickers:65 — [15/50] HCLTECH.NS
2026-03-09 11:50:13 | INFO     | src.intraday:predict_timeframe:357 — Predicting HCLTECH.NS [5min]...
2026-03-09 11:50:13 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting HCLTECH.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:13 | INFO     | src.intraday:predict_timeframe:357 — Predicting HCLTECH.NS [15min]...
2026-03-09 11:50:13 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting HCLTECH.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:13 | INFO     | src.intraday:predict_timeframe:357 — Predicting HCLTECH.NS [1hr]...
2026-03-09 11:50:14 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting HCLTECH.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:14 | INFO     | __main__:scan_all_tickers:65 — [16/50] ASIANPAINT.NS
2026-03-09 11:50:14 | INFO     | src.intraday:predict_timeframe:357 — Predicting ASIANPAINT.NS [5min]...
2026-03-09 11:50:14 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ASIANPAINT.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:14 | INFO     | src.intraday:predict_timeframe:357 — Predicting ASIANPAINT.NS [15min]...
2026-03-09 11:50:15 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ASIANPAINT.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:15 | INFO     | src.intraday:predict_timeframe:357 — Predicting ASIANPAINT.NS [1hr]...
2026-03-09 11:50:15 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting ASIANPAINT.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:15 | INFO     | __main__:scan_all_tickers:65 — [17/50] MARUTI.NS
2026-03-09 11:50:15 | INFO     | src.intraday:predict_timeframe:357 — Predicting MARUTI.NS [5min]...
2026-03-09 11:50:15 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting MARUTI.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:15 | INFO     | src.intraday:predict_timeframe:357 — Predicting MARUTI.NS [15min]...
2026-03-09 11:50:16 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting MARUTI.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:16 | INFO     | src.intraday:predict_timeframe:357 — Predicting MARUTI.NS [1hr]...
2026-03-09 11:50:16 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting MARUTI.NS [1hr]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:16 | INFO     | __main__:scan_all_tickers:65 — [18/50] SUNPHARMA.NS
2026-03-09 11:50:16 | INFO     | src.intraday:predict_timeframe:357 — Predicting SUNPHARMA.NS [5min]...
2026-03-09 11:50:16 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting SUNPHARMA.NS [5min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:16 | INFO     | src.intraday:predict_timeframe:357 — Predicting SUNPHARMA.NS [15min]...
2026-03-09 11:50:17 | ERROR    | src.intraday:predict_timeframe:455 — Error predicting SUNPHARMA.NS [15min]: 'Index' object has no attribute 'clip'
2026-03-09 11:50:17 | INFO     | src.intraday:predict_timeframe:357 — Predicting SUNPHARMA.NS [1hr]...
